Unique ID,Last Name,First Name,Title of the Presentation ,Year ,Summary,Topics (L),Region (L),Sub-region,Checked,,Notes
LaxKat;DalTam,Laxer;Daly,Kate;Tamara,"The Formal Labour Force in Long-term Residential Care in Canada: Preliminary Analysis of New Survey Data on Gender, Work Organization and Working Conditions",2019,"Approximately 2,300 Long-term Residential Care (LTRC) facilities across Canada directly employ approximately 200,000 workers. These facilities are complex and highly gendered and racialized workplaces employing mostly female nurses and care aides (80-90%). Statistics Canada labour force data provides limited information about this sizable and critical workforce. In 2006, our team conducted the Long-term Care Workers’ Survey (LTC-WS) to better understand the work of Canada’s LTRC labour force and to compare conditions in Canada with Nordic countries (Sweden, Norway, Denmark and Finland). This ground breaking survey advanced knowledge about work in LTRC in Canada and internationally, highlighting issues surrounding gender, work and care, and underlining challenges for staffing, models of care and workers’ exposure to violence. This paper presents preliminary analysis of data from a new, expanded LTC-WS. Guided by feminist political economy, our analysis extends conventional categories commonly used in national labour force surveys, such as for complex identities, including race and ethnicity, and for mapping unpaid tasks. We examine how the demographic composition of the paid, formal workforce has changed over time; how work organization and working conditions have shifted; and the extent to which facility ownership affects staffing intensity, workload and turnover.",Gender;Labor;Race,Canada,N/A,FALSE,,
LeoCon,De Leon,Conely,"’Pagod, Dugo’t, Pawis’ (Exhaustion, Blood, and Sweat): Transnational Practices of Care and Emotional Labour among Filipino Kin Networks",2019,"This paper draws on multisited ethnographic research conducted with a total of 70 participants in three sites: Canada, the Philippines, and Hong Kong. Tracing the transnational caring practices of four Filipino migrant networks – specifically, their innovative use of traveling artifacts and information and communication technologies (ICTs) – this paper provides a more expansive and culturally nuanced approach to understanding transnational care and emotional labour as multiphased, multidirectional, multirelational, and multilocational in scope. This paper further suggest that such an approach contributes to scholarship on gender, migration, and care in the following key ways: First, it highlights the multidirectionality of care, recognizing that care does not flow unidirectionally along a hierarchical chain as exemplified in the global care chains literature; second, it understands that transnational care occurs across the life course and therefore involves generations and broader communities of carers; third, it decenters the Western heteronormative, nuclear family structure and calls for a queering of transnational relations of care; and finally, in decentering nuclear family arrangements, it moves away from an exclusive focus on mothering and the mother-child dyad, thus opening up conversations around other modes of caring.
",Affect;Migration;Gender,Canada;East Asia,Philippines;Hong Kong,FALSE,,
LigNao,Lightman,Naomi,Who Cares? Tracing the Employment Trajectories of Migrant Care Workers in Canada,2019,"Historically, professional, paraprofessional, and non-professional caring occupations (jobs often associated with “women’s work”) have been a dominant labour market entry path for immigrant and racialized women in Canada, through work that is often undervalued and underpaid (Banerjee et al. 2018, Boyd 2017). In particular, scholars have noted the prevalence of precarious employment—work that is insecure, offers limited protections and benefits, and allows workers minimal autonomy, recourse, or control—within low status caring jobs, with contingent effects that are often shouldered disproportionately by people who are the most marginalized (Goldring and Landolt 2012, Kalleberg 2011, 2009, Jokela 2018).

This paper measures patterns of precarious employment within high and low status paid care work among immigrant and racialized women in Canada. Using 2016 and 2006 census microdata, I examine four components of work precarity – part-time employment, temporary employment, low wages, and a lack of job benefits – and map their frequency within a) paid domestic labour in private homes, b) others forms of low status care work, c) professionalized caring occupations, and d) in non-caring employment. I measure the probability of working in precarious forms of care work for immigrant and racialized women, disaggregating by their time since arrival to Canada and specific ethno-racial background. The use of two time periods allows for examination of a shift in rates of precarious care work over the last decade, comparing prior to and after the 2008 financial crisis. Findings confirm the disproportionate reliance on precarious labour within low wage care work, with increasing rates over time, and the overrepresentation of immigrant and racialized women in low wage, low prestige jobs in health and education, regardless of individual human capital.",Migration;Labor;Race,Canada,N/A,FALSE,,
LowRut;StrJam,Lowndes;Struthers,Ruth;James,"A Day in the Life: Comparisons of Social and Medical Care Models in Germany and Ontario, Canada",2019,"There is an obvious tension between dealing with the medical and physical needs of residents and their social need for human support and interaction. The tensions become more visible as residents who live in long-term residential care have increasingly complex medical needs. In a medical care model, biological data and the measurement of physiological evidence of health are prioritized over the more social or relational aspects of care. Work is organized in a task-oriented manner, decision-making tends to be hierarchical, divisions of labour are strict, and routines are often fixed and rigid. For instance, nutritional content and amount of food intake take precedence over the pleasurable aspects of dining. This approach to care is driven by detailed government regulations that require daily, quantifiable data entry, and often little time is left to meet residents’ social care needs. In contrast, we observed in different settings a more social approach to care embedded in practice that attempted to manage these tensions. In this presentation we draw on data from case studies in Ontario and Germany to compare social versus a more medical care approaches, and the difference each makes in the everyday experiences of residents and staff in these settings. Social care approaches prioritize important aspects such as building and maintaining relationships and socialization, exercising choice, freedom of movement and engagement in meaningful activities as residents would do if they were at home. Certain conditions such as sufficient, permanent staffing levels, managerial support for social care practices, and physical spaces like open areas and accessible, unit kitchens enable social care, which in turn improves care quality and resident quality of life.",Healthcare;Governance;Social care,Western Europe;Canada,Germany;Ontario,FALSE,,
LumJen,Lum,Jennifer,Drugging as Caring: Reading the Rhetoric of Care for Alzheimer’s in the Pharmaceutical Imaginary,2019,"This paper explores the history of representations of drug therapies as devices of care for people diagnosed with Alzheimer’s disease (AD). Dementia studies scholars have voiced concern that the biomedicalization of AD has gone hand-in-hand with the denigration of caregiving (Ballenger 2006), and has compromised the ‘person within’ the diagnosis (Estes and Binney 1991; Lyman 1989; Whitehouse 2009). However, I revisit the notion that technological advancement and person-oriented caregiving are inimical to one another, by asking how ideas about care have been expressed within pharmaceutical drug culture. What has it meant to provide good care for people with dementia/AD, and how have these visions and objectives of care changed over the past 50 years, within the pharmaceutical imaginary?

I turn to an archive of ads for anti-dementia drugs circulating in biomedical journals, on TV, and online between the mid- 1950s and the early 2000s in North America. I show how, during the mid-20th century, proper care for an AD subject was imagined to stem from a robust physician-patient relationship. At stake was the stabilization of the person’s gendered and racialized identity within the nuclear family, within the context of Cold War-era social and geopolitical unrest. By the early 2000s, however, an effective drug-based care regimen for AD was imagined to empower the patient to navigate the health care system, as a consumer-citizen, and even as a citizen-scientist, while destabilizing the constraints of gender and race. I argue that the shift from physician-authorized care to self- care within these narratives reflects social, structural, and epistemic developments since the 1980s, including cuts to the welfare state’s provisions of health care; the responsibilization of the individual AD patient; the commodification of high-tech medicine; and social justice-oriented struggles for equal representation of women and minorities in clinical drug trials.

References

Ballenger, Jesse. 2006. Self, Senility, and Alzheimer’s Disease in Modern America: A History. Baltimore: The Johns Hopkins University Press.
Estes, Carroll, and Elizabeth Binney. 1991. “The Biomedicalization of Aging: Dangers and Dilemmas.” In Critical Perspectives on Aging: The Political and Moral Economy of Growing Old, ed. M. Minkler and C. Estes, 117-134. Amityville, NY: Baywood Publishing.
Lyman, Karen. 1989. “Bringing the Social Back In: A Critique of the Biomedicalization of Dementia.” The Gerontologist 29 (5): 597-605.
Whitehouse, Peter. 2009. “Can We Fix This with a Pill? Qualities of Life and the Aging Brain.” In Treating Dementia: Do We Have a Pill for It?, ed. Jesse Ballenger, Peter Whitehouse, Constantine Lyketsos, Peter Rabins, and Jason Karlawish, 168-82. Baltimore: The Johns Hopkins University Press.
Adam Rosenblatt, Duke University, “Reclaiming Cemeteries: Carework for the Marginalized Dead.”
Caring for the dead is a human universal, something most of us believe every person should receive—possibly even as a human right. Yet this widespread type of carework is rarely mentioned in conversations about caring labor. This paper explores how care for the dead becomes a political practice. Focusing on neglected African American cemeteries and burial grounds near former mental asylums, it describes the volunteer labor of people who maintain, memorialize, and care for these spaces. In repeatedly (and incorrectly) calling them “abandoned,” many narratives about these cemeteries participate in the widespread privatization of all questions relating to care—relating it to intimate and private acts rather than structures or public goods (In the U.S., public funding supports the maintenance of Confederate graves and monuments that glorify the fight for slavery, but not most historic African American cemeteries). Volunteer labor caring for spaces of the dead thus becomes a new site of political practice—of “making things public”—and prompts complex face-to-face negotiations around identity, memory, and community. My fieldwork in these cemeteries reveals how caring for the dead produces new communities of care, increased engagement with local politics and public space, and a generative tension between volunteers. This tension arises, for example, as volunteers grapple with the conflict between an apolitical and universalist approach to caring for graves (focused on the individual dignity of the dead) versus explicitly anti-racist, anti-ableist, and other politicized ways of framing the relationship with the dead and the reclaiming of public space.

",Healthcare;Technology;Ethics,N/A,N/A,Ontario,,
MacFio,Macdonald,Fiona,"Emerging Risks in Paid Carework: Individualisation, Insecurity and the Gig Economy",2019,"The massive and rapid transformation of Australia’s system of support for people with disability is reshaping employment relationships, work arrangements and job quality for paid care workers in multiple ways. Under the new personalised and marketised system of supports the goals of power, flexibility and control for care ‘consumers’ are to be achieved, at least in part, through commodification of support relationships, including via direct employment and brokered arrangements. New markets for disability services are being formed and digital platforms are playing a role in shaping market structures and transforming employment relations. The consequences of these changes for paid care workers are the focus of this presentation, which reports on some of the findings of a three-year qualitative case study of the consequences of the Australia’s new National Disability Insurance Scheme for the disability support workforce in comparative perspective. Drawing on findings of analyses of interviews with workers, employers and other labor market actors, and on worker time diaries and organizational and public policy documents the presentation examines how labour market and business risks are being individualised and privatised in the newly forming commodified care market, and the role of platform or ‘gig’ economy businesses in this. It focuses on impacts on the low-paid and highly feminised paid care workforce and the ways in which contemporary changes are informalizing paid care work, placing it beyond the reach of traditional forms of regulation.
",Disability;Market servies;Labor,Australasia,Australia,FALSE,,
MacMar;ArmPat;ArmHug;DouMal,Macdonald;Armstrong;Armstrong;Doupe,Martha;Pat;Hugh;Malcom,Privatization of Long-term Residential Care in Canada: The Case of Three Provinces,2019,"This paper examines trends in privatization of long-term residential care (nursing homes) in the Canadian context since the 1990s, comparing Ontario, Manitoba and Nova Scotia. It sets out both commonalities and differences in the trend among the three provinces, identifying factors that contribute to this variation within a single federation. While the Canada Health Act insures public provision of physician services and hospital care, the suite of services comprising the older adult care continuum, such as home-based services, nursing homes, and more recently some community-based housing with health services options (introduced as an alternative to nursing home care) have been excluded from this Act and the national standards it provides, as limited as these standards may be. This has led to major differences in the organization of, and access to, these care options across Canada. The exclusion of continuing care from the Canada Health Act has also led to vast additional inter-provincial differences as it relates to the supply and mix of services offered, to the staffing levels provided, and to regulatory (or in some instances, lack thereof) policies. We consider privatization in terms of formal ownership, contracting out of services, and the impacts of privatization on regulation. Using a feminist political economy approach, the implications for affordability, accessibility and quality of work and care are considered. This research is part of an eight year project funded by SSHRC on ‘Reimagining Long-term Residential Care: An International Study of Promising Practices’ (Pat Armstrong, Principal Investigator). The chapter will be part of a book from the project on ‘Privatizing care, the case of nursing homes’ to be published by Routledge.

",Aging;Governance;Healthcare;Labor,Canada,Ontario;Manitoba;Nova Scotia,FALSE,,
ManGui,Man,Guida,"Transnational Migration, Gender, and Care Work: Examining Eldercare within Chinese Immigrant Families",2019,"This paper is based on a research entitled “Eldercare Within Chinese Immigrant Families”. It explores the experiences of recent Chinese immigrant women from Hong Kong and mainland China, and examines the reciprocity of care between adult Chinese immigrant women in Canada and their aging parents who reside either in Canada or transnationally. It investigates how the work of eldercare exacerbates inequalities experienced by a particular group of minoritized women, i.e., Chinese immigrant women, in the context of globalization and neoliberal restructuring. The myriad ways recent Chinese immigrant women simultaneously provide carework for their elderly parents and for other family members will be examined. At the same time, the various kinds of reciprocating carework elderly parents offer to their adult children’s families will also be investigated.",Aging;Migration;Social practices;Race,Canada,N/A,FALSE,,
ManKar,Manso,Kara,Landed Status Now: Care Workers Organize!,2019,"Care Workers in Toronto, Ottawa, Vancouver, Edmonton, and Montreal came together on November 18, 2018, to launch the “Landed Status Now: Care Workers Organize!” Fourteen Care Worker organizations have called on the Canadian government and society to treat Care Work with respect and dignity. They ask that care workers be able to come to Canada with permanent residency upon arrival and with their families. Two activists from one of these organizations, the Toronto-based Caregivers Action Centre (CAC) will talk about how they got here and where we need to go next. CAC is a grass-roots organization of live-in care workers, former care workers, newcomers and their supporters. Their mission is to educate, inform and inspire care workers. They work collectively and in unison toward winning respect, fairness and dignity for all care workers.",Labor;Migration,Canada,N/A,FALSE,,
MarPia;QuiMar;GooNan;GalCat;SamSus;KarNic;SheNoo,Markkanen;Quinn;Goodyear;Galligan;Sama;Karlsson;Sheikh,Pia;Margaret;Nancy;Catherine;Susan;Nicole;Noor,Cleaning and Disinfection in Home Care: A Qualitative Study to Characterize Aides’ Cleaning Work and Assess Safety and Health Exposures,2019,"Background and objectives. Home care (HC) aides are a major workforce providing care work worldwide. In the United States, HC aide is one of the fastest growing occupations. Exposures to occupational safety and health (OSH) hazards are challenging to evaluate in complex HC work environments. This presentation demonstrates how qualitative and quantitative research methods complement each other when assessing and characterizing musculoskeletal strain and interventions that impact both HC aides and clients. Methods. In Massachusetts, the Safe Home Care Project of the University of Massachusetts Lowell conducted 12 focus groups with HC aides and 26 in-depth interviews with HC agency managers, labour union members, workers’ compensation representatives, and HC clients. All focus groups and interviews were audio-recorded and transcribed verbatim. Structured, computer-assisted thematic analysis of all transcripts was performed and the results were incorporated into a cross-sectional survey questionnaire administered among HC aides (n=1,249). Nine post-survey focus groups and seven interviews interpreted the quantitative survey findings and then informed a laboratory-based study to assess musculoskeletal strain in the use of assistive slide board devices among HC aides (n=16). Results. The qualitative and quantitative data showed that the most concerning OSH exposures among HC aides were client handling and mobility tasks associated with aides’ back injuries and other musculoskeletal disorders (MSDs). About one-third of survey participants experienced back pain in the past 12 months and of those who reported pain one-fourth considered the back pain to be work-related. Ergonomic assistive devices to prevent MSDs and in-service trainings were assessed as the most promising short-term interventions. Post-survey focus groups and interviews provided interpretation of the quantitative exposure estimates, possible determinants, and recommendations for future research. Conclusions. Combined qualitative and quantitative research techniques provide complementary data for more comprehensive characterization of musculoskeletal strain exposures and intervention opportunities in complex care work environments.",Healthcare;Labor,United States,Massachusetts,FALSE,,
MauLau,Mauldin,Laura,The Care of One: A Study Bridging Feminist Scholarship and Disability Studies,2019,"Millions of caregivers go unnoticed in waiting rooms and clinical appointments. They perform care work in the intimacy of the home and are largely invisible to the public. It often all begins when the person is ready to return home from the hospital, a turning point when staff must satisfy the question posed by administration: Is it safe to release this patient into the care of one? That is, is the caregiver - often a partner - willing to take sole responsibility? This paper proposes that three fields, science and technology studies (STS), disability studies (DS) and feminist scholarship, can be drawn together to examine such caregiving. Feminist scholarship has long examined caregiving as devalued women’s work. But disability studies is committed to the social model of disability, which moves the site of the “problem” from the body to the social structures surrounding that body. Caregiving has been historically avoided because it may highlight the impaired body. Although explorations of subjectivity, experience, and power related to embodiment (e.g., gender, disability) are central to both feminist scholarship and disability studies, there remains a rift between the fields regarding the issue of caregiving; feminist scholarship feels it should central while disability studies recoils. This paper suggests the need to enter into this forbidden space of considering caregiving and disability together, particularly by bringing in theories from STS. How might we incorporate critical analyses of technological objects used to care and the healthcare systems and policies that must navigated to show how caregivers and their partners are actively shaped by contemporary, technoscientific social conditions? I will present work-in-progress related to a book project that will use ethnography in people's homes to investigate these phenomena; I hope to solicit feedback to improve the study’s research design.
",Disability;Technology,N/A,N/A,FALSE,,
McCMic,McCormack,Michael,Domestic Work and Economic Migration: Evidence of Gendered Work Permit Conditions in Law and Policy,2019,"Economic push and pull factors remain one of the major forces contributing to migration flows around the world today. Economic migrants of all skill levels, occupations and industries apply for temporary work visas in search of better opportunities in states with strong labor markets. The significant demand for domestic work in high income countries has made it a significant share of migrant labor flows in today’s global economy. It is also well documented that migrant workers in this occupation are especially vulnerable to exploitation, mistreatment and social exclusion, and that the care work of women is systematically devalued.

This paper examines how the gendered nature of domestic work is embedded within the work permit regulations for immigrant workers in domestic work occupations. Using new comparative law and policy data on migration from 150 UN member states created at the WORLD Policy Analysis Center at the University of California Los Angeles, we explore differences in the protections and conditions of domestic work permits versus general work permits and those permits more likely to be filled by men. This data provides evidence of how the feminization of labor and the devaluation of care work is expressed in the terms and conditions of work permits specific to domestic workers across 20 countries. Among those countries with work permits specific to domestic work, Domestic work permits are more restrictive in regards to renewability, lengths of validity, and are more likely to place restrictions on changing employers. Restrictions on family reunification for domestic work permit holders were also common. These differences can be viewed as a legal expression of the devaluation of immigrant care work, and point to the need of more equitable conditions across temporary work visas to remedy such devaluation.",Migration;Governance;Gender,N/A,N/A,FALSE,,
MicSon,Michel,Sonya,The ILO and the Global Tilt in Care Resources,2019,"I will discuss how the ILO report addresses the issue of migrant women care workers and the families they leave behind. While it notes that migrants make up a large proportion of careworkers in many wealthy countries and calls for protection of certain migrant rights, the report does not fully examine the impact of women’s absence on children and other relatives who stay in sending countries. I will review the literature on this phenomenon and place the report within the context of how previous ILO initiatives on carework have dealt with the “global tilt” in care resources, the inequalities it engenders, and what all of this says for the prospects of reaching global sustainable development goals.",Migration;Social practices,N/A,N/A,FALSE,,
MilCK,Miller,CK,Mexican Woman and the Decision to Migrate: Evidence from the Mexican Migration Project,2019,"Much of the research on Mexico-US migration focuses on the effect of demand shifts in the United States, or on the economic impact of immigration in destination communities, particularly on native wages and employment rates in immigrant heavy industries, such as agriculture and construction. Less researched are migrant female labor supply decisions, particularly considering the increasing domestic service worker demand in the United States. Motivating evidence from the Mexican Migration Project shows that the proportion of female-to-male Mexican migrants to the United States is increasing, even as total Mexican migration is decreasing. This research uses Mexican Migration Project data from two different periods to examine the differences in the determinants of female labor migration during two periods. A difference-in-difference static labor supply model is used to explore the supply side story of female Mexican migration changes between peak migration in 2006/2007 and a period of rapidly diminishing migration in 2015/2016. Isolating the dominating demand-side effects, preliminary results show evidence of dissolving care-chain between Mexico and the US, with a stronger care-chain developing between Central America and Mexico. These results tell an important story about the impact of institutional and geographic changes in social reproductive work and the sustainability of a traditional household division of labor in light of the increased pressures of global capitalism.",Migration;Labor;Race,United States,N/A,FALSE,,
MokZit,Mokomane,Zitha,Balancing Childcare and Work Roles: Views of Parents in the South African Informal Sector,2019,"A wide and established body of research evidence has consistently shown the critical role of various workplace policies and practices in enhancing the integration of paid work and family care responsibilities. It is noteworthy, however, that in many countries of the Global South where labour markets are characterized by large informal sectors, the majority of workers have limited or no access to the formal workplace measures meant to support the combination of work and care responsibilities. Despite this, the care challenges and coping strategies of workers in the informal sector have remained largely unexplored. With a particular focus on childcare, the aim of this paper is to contribute to closing this research gap by exploring the work-family fit (individuals’ assessment of who well they are able to integrate paid work and family responsibilities) of informal sector workers in South Africa, a country where the informal sector accounts for 17% of total employment. The paper uses data from the “Family and Gender Roles” module fielded in a recent round of the South African Social Attitudes Survey – an annual, nationally representative survey that provides quantitative public opinion data on various socioeconomic and political issues. The results reveal that due, overall, to the precarious nature of their jobs, informal sector workers have relatively poor work-family fit compared to their formal sector counterparts. The key factors that underlie these results are discussed, and the paper concludes that the experiences and views that emerged from the informal sector workers underscore the need for the development of context-specific interventions that cater for all types workers. Examples of plausible policies and programmes for the informal sector are presented.

",Labor;Market services;Governance,Southern Africa,South Africa,FALSE,,
MooLis,Moore,Lisa,Interlocking Strategies to Organize Domestic Workers,2019,"Organizing a workforce that has been largely excluded from the right to collective bargaining requires a diversity of interlocking strategies. Lisa Moore, Field Director at the National Domestic Workers Alliance (U.S.) will discuss the Alliance's use of legislation, innovation and narrative shift strategies to build power and improve working conditions for the estimated 2.5 million nannies, housecleaners and home care workers in the United States.",Labor;Governance;Social practices,United States,N/A,FALSE,,
MunAdr;AltGui,Munson;Altomonte,L,How Autonomy Organizes Carework: Comparing Institutional Approaches to Disability and Elder Care,2019,"Autonomy is a widely shared cultural value and is often used as an indicator of successful rehabilitation by social welfare institutions. Autonomy’s opposite is often described as force, coercion, or dependence especially for formerly institutionalized populations like the elderly and the mentally disabled. Framing autonomy in this way obscures the way that we manage enduring dependencies throughout the lifecourse.

This paper is a comparative exercise of the meanings that autonomy has for the elderly--who are “exiting” autonomy as they start experiencing new forms of impairment--and disabled young adults--who are “entering” autonomy through an independent living program. We combine our ethnographic data on the tensions between independence and care that arise for each group. We are especially interested in the ways in which two institutions in New York State, an independent living program for disabled adults and a skilled nursing facility for elderly individuals, define and make use of autonomy when they organize carework. The article examines and compares: (1) institutional definitions of ethical care and autonomy; (2) tools, discourses, and strategies used to manage dependencies; (3) what work does autonomy do to reconcile the conflicts and interests of the institution and its clients.

By contrasting institutional differences and similarities across these dimensions, we theorize the multiple and contradictory meanings of autonomy and the ways in which these interpretations shape the labor of caring. As both groups primarily access long-term care through Medicaid, we conclude with a reflection of the expectations the neoliberal welfare state places on citizens for self-sufficiency and autonomy.",Aging;Healthcare,United States,New York City,FALSE,,
NazJen;CraCyn,Nazareno;Cranford,Jennifer;Cynthia,"Intersectionality, Immigrant Care Economies, and New Forms of Servitude in Long-Term Care",2019,"This paper aims at examining the private sector of U.S. long-term care services, specifically related to immigrant care economies and the home health industry. We interviewed 20 immigrant Filipino women who have been care workers for older adults in Los Angeles, California for at least 10 or more years. Our major findings pertain to the new forms of domestic servitude that characterize this intersectional relationship occurring between the care worker and the care recipient. This phenomenon is exemplified by the 1) combination of oppression/privilege given the social location of the care recipient. They are not just oppressed as women and privileged in terms of class and race (like classic domestic work) but also marginalized due to age and disability. Yet, they are still able to limit this vulnerability to some extent because they can afford to pay for domestic care services. All the while, immigrant women are migrating later in life (in their 50-60s) despite having a college degree and 20-year careers as teachers, small business owners, office workers, accountants, health care workers in their home country. Nevertheless, they leave family members behind even during later stages in their lives and migrate to serve as care workers for the growing older adult population in wealthier regions such as the United States. 2) The formation of a triangular relationship that between the care worker, care recipient, and home health agency also characterizes the nuances occurring in domestic care work. Unlike didactic relationships that have characterized classic domestic labor services, these immigrant care workers describe having two employer relations that they now need to manage. 3) Companionship labor that immigrant care workers provide is unrecognized form of labor despite the importance that such labor provides by serving as the eyes and ears of care recipients who are impaired and helping to prevent social isolation and depression and physical falls that could lead to hospitalization and institutionalization. These new forms of domestic servitude underscore the continued consequences of economic globalization intersected with the privatization of the welfare state.",Migration;Healthcare;Market services,United States,N/A,FALSE,,
NguMeg,Nguyen,Megan,The Bodily Experience of Emotions among Cancer Patients,2019,"Research demonstrates that conversations between health practitioners and cancer patients about their experiences of emotions alleviate their emotional distress and support their improved quality of life. When practitioners create a safe space for patients to express their emotions, patients are less likely to experience detrimental health outcomes associated with poorly managed emotional distress (e.g. reduced adherence and adaptation to treatment, lower quality of life). Best practice guidelines recommend that practitioners help cancer patients express and explore their feelings, especially during active treatment when they are particularly at risk for increased emotional distress. Despite this, the emotional needs of cancer patients remain largely unmet. This gap in care is fundamentally an effect of the biomedical culture of oncology in which the physical body is prioritized over emotional health and explorations of emotions are limited to screening for and mitigating emotional distress. This biomedical approach does not provide a sufficient means for deeply exploring and understanding patients’ emotions. It behooves us to venture beyond conventional approaches to enable a radical rethinking of emotions in the context of cancer care. In this presentation I will provide an overview of the empirical and theoretical literature regarding cancer patients’ bodily experiences of emotions. I will argue that a phenomenological embodiment approach to exploring emotions is warranted because it can provide insight into the direct experience of emotions through its orientation to the subjective, lived body. This perspective enables an exploration of the bodily dimension of feelings that fundamentally underpins emotion experiences and thus, has the potential to shed light on meanings of emotions that attention to bodily experience can particularly afford. Through the disruption of traditional thought therein lies the possibility for new insight into emotions. This understanding could be applied in practice to foster improvements in the emotional support and care of cancer patients.

",Healthcare;Affect,N/A,N/A,FALSE,,
NisEli,Nisbet,Elizabeth,Sources of Authority and Worker Agency: An Agenda for Research on Worker Views of Rights and Change,2019,"Policy change affecting low-wage work in the United States has occurred as worker movements and occupation- and sector-based organizing have adopted new reform agendas and new tactics, as seen in the Fight for 15 movement. Home care aides have been part of this collective action through the National Domestic Workers Alliance and unions including SEIU. Results have included wage gains and the extension of federal overtime regulations to care aides. The policy context of home care work is complex given overlapping state and federal labor and health care policies. Structural parameters also shape the jobs in terms of process factors including skill level, tasks, and visits to clients. Policy applicability often depends on employer type or payer source, while regulations such as training rules may also vary by state, and according to employer-permitted tasks aides may perform. Our research explores how this complex interplay of policy, payer, and employer factors influences aides’ perceptions of what factors structure their jobs and how jobs might be improved. Scholars have noted the influence of industry structure, the isolation of home care, and affective ties between client and caregiver. Less has been written about how bewildering the different sources of authority structuring home care work could be and implications for participation in advocacy efforts. This paper argues that research on job quality and engagement of care aides should take into account both sources of authority over care work and aides’ awareness of the responsibilities of different authority sources for structuring their jobs. Drawing from labour process and legal consciousness theory and pilot survey and interview data on workers, we propose a model of how sources of authority structure intersecting labor process and institutional factors to guide further research. Implications for understanding the dynamic context of job quality, client relationships and advocacy efforts will be discussed.",Labor;Market services,United States,N/A,FALSE,,
NisIng;WaaRod,Nistelrooij;Van der Waal,Inge;Rodante,‘Liberating the Pregnant Body’: Disempowerment and Disembodiment in Maternity Care,2019,"Since its early days, starting with the works of Ruddick (1980) and Gilligan (1982), care ethics has worked to carve out space in Western thought for women to express their own experience, morality and politics, which were partly rooted in maternal experience.

The focus of our paper is on the pregnant body as being appropriated and disempowered by capitalist society and obstetric thinking (Murphy-Lawless), in e.g. successful Pro-life actions and neglect and violence against women in obstetric care.

Women’s own experience and knowledge of pregnancy are oppressed in Western (obstetric) thought via the centering of the unborn baby and the decentering of the pregnant woman. In this paper we aim to analyze how ‘the pregnant body’ has historically become subjected to patriarchal medical knowledge .

Barbara Duden (1993) traces the ways in which technology and a new discourse cooperate in order to instrumentalize and disembody pregnancy; a disembodiment that is also internalized by women themselves. Silvia Federici (2004) considers capitalism as the cause of this violent transformation that turns holistic women’s bodies into production machines of manpower, and shifts the focus to babies as the necessary product. Putting these theories together, it becomes in combination with the work ‘The Invention of Women’ by Oyèrónké Oyèwùmí (1997) manifest, that, and how, the pregnant body today is a suppressive construct of imperialistic power.

Defined as a ‘construct’, we further aim to investigate whether the pregnant body could be liberated - a term we prefer to ‘decolonizing', as the latter should be reserved for the liberation of native cultures in former colonies. This paper presents a relational care ethical perspective on the possibility of ‘liberating’ via ‘women’s writing’ (Hélène Cixous 1994). Shifting to women’s voices and relational ethics is vital for humanizing obstetric practices.
",Ethics;Gender,N/A,N/A,FALSE,,
OkaYay,Okano,Yayo,Looking at ‘The Girl Statute for Peace’ from the Perspective of Care Ethics,2019,"The presentation will discuss about the issue of “comfort women” in Japan, especially the controversy over “the Girl Statute for Peace” with the insights of Care Ethics.

Some survivors of sexual slavery of Japanese Troops during the WWII and their supporters in South Korea started to hold “Wednesday Demonstration” to protest the irresponsibility of the Japanese government every Wednesday in 1992 in front of the Japanese Embassy in Seoul. For the 1000th anniversary of the Demonstration in December 2011, “the Girl Statute for Peace” was established. Right after the first iteration of the “Girl” Statute was unveiled, the Japanese government asked the Korean government to displace the statute and claimed that the statute impaired the dignity of the mission.

For all oppositions, since the first iteration of the statute, numerous girl statues have been built in more than thirty cities in South Korea as well as in some cities in U.S, and Canada.

On the other hand, some scholars in Japan started to criticize the statute for its way of representation of “comfort women.” They argued in following ways; 1) “the girl” is easily appropriated by the dominant narratives of patriarchal Korean society; 2) “the girl” conveys a strong message that victims of sexual violence should be innocent; 3) The presence of “girl” misrepresented various memories, especially those of Korean women who experienced not only sufferings but also affection toward the Japanese soldiers.

Ethics of care, especially ethical theories of Margaret Walker and Judith Butler, can provide us with an alternative way to assess the statute. I try to revalue the presence of the statute and make clear that the statue becomes radically critical of Japanese patriarchal and post-colonial power configuration not although but rather because it is the figure of girl.",Ethics;Social practices;Social care;Governance,East Asia,Japan,FALSE,,
