Unique ID,Authors,Title of Presentation,Yr Presented,Title of the Work,Yr published,Venue/Publication,Type,Topics/Trends (L),Methodologies,Region (L),Locality,Link,Notes,Who?,Checked?,Zotero?
BaiDon;DulAnn;ChaSar,Donna Baines;Annabel Dulhunty;Sara Charlesworth,"Who’s Bearing the Cost?”: Relationship-Based Care, Austerity and Aged Care",2019,"Relationship-Based Care Work, Austerity and Aged Care",2022,"Work, Employment & Society",Journal article,Healthcare;Labor;Market services;Affect,Discursive analysis;Qualitative,Australasia,Australia,,,,FALSE,FALSE
BanAlb,Albert Banerjee,Tensions Between Principles and Practices,2019,Improving Care in Practice: Learning from the Seniors' Advocate’s Inquiry Into the Death of a New Brunswick Nursing Home Resident,2022,Journal of New Brunswick Studies,Journal article,Healthcare;Aging;Governance;Affect,Discursive analysis;Qualitative,Canada,Ontario,,,,FALSE,FALSE
BanPal;ThoCer,Pallavi Banerjee;Cerita Thomas,‘Our Purpose as Women and Nurses is to be Selfless Healer’: Discourse of Gendered Carework and Self-Making as Healers among Indian Immigrant Nurses,2019,"Immigrant Carework Regime and the Making of
the Constant-Careworker among Indian Immigrant Nurses",2021,International Sociological Association,Presentation,Migration;Labor;Healthcare;Gender,Discursive Analysis,Canada,N/A,,,,FALSE,FALSE
BarRac;ArmPat,Rachel Barken;Pat Armstrong,Families and Care Homes,2019,"Shifting Responsibilities for Care
The Experiences of Staff and Families in Long-Term Residential Care
",2019,The Privatization of Care (Book),Book Chapter,Aging;Labor;Social practices;Affect,Discursive analysis,Canada,N/A,,,,FALSE,FALSE
BarRac;DavMeg,Rachel Barken;Megan Davies,"A Relational Ethic of Rural Home Support: Care in Two Gulf Island Communities, 1978- 2018.",2019,"A relational ethic of rural home support on two Gulf Island communities, 1978-2018
",2020,Journal of Aging Studies,Journal article,Social practices;Governance;Social care;Ethics,Discursive analysis;Qualitative,Canada,British Columbia,,,,FALSE,FALSE
BenRac,Rachel Bennett,Thriving or Surviving? The Wellbeing of Grandchildren and Grandparents in Multigenerational Care Arrangements in South Africa,2019,The Self‑Rated Health of Grandmothers Caring for Grandchildren: Evidence from South Africa,2023,Journal of Population Aging,Journal article,Aging;Healthcare;Affect;Social practices,Quantitative;Surveys,Southern Africa,South Africa,,,,FALSE,FALSE
BobAnd,Andrea Bobadilla,Getting Carework Experience: The Influence of Stepwise Carework Migrations on Filipina Careworkers in Canada,2019,Examining the socio-economic and gendered structure of Canada's Live-In Caregiver Program: A qualitative study of Filipina women's health experiences,2022,The University of Western Ontario,Dissertation,Migration;Labor;Market services;Gender,Interviews;Qualitative,Canada;East Asia,Toronto;Philippines,,,,FALSE,FALSE
BorJan;PhoJan;ManNan,Jana Borras;Janice Phonepraseuth; Nancy Mandell,The Role of Grandparents in Multigenerational Canadian Immigrant Households,2019,"Settlement Experiences of
 Recently Arrived Senior Immigrants",2019,Centre of Excellence for Research on Immigration and Settlement,NGO/Non-Profit report,Migration;Aging,Qualitative;Interviews;Focus-group,Canada,Toronto;York Region;Ottawa;Windsor,,,,FALSE,FALSE
BouNat,Nathan Boucher,Designing Lay Navigation for Caregivers of Older US military Veterans with Advanced Illness.,2019,Improving support for caregivers of seriously ill older veterans: steps toward lay navigation,2019,Innovation in Aging,Journal article,Healthcare;Social care;Labor;Affect,Discursive analysis;Interviews;Qualitative,United States,N/A,,,,FALSE,FALSE
BroRac,Rachel Brown,Situating Carework within the Settler State,2019,Unsettled Labors: Migrant Care Work in Palestine/Israel,2024,Duke University Press (Book),Book,Migration;Aging;Labor;Governance,Discursive analysis;Interviews;Qualitative,Middle East,Israel;Palestine,,,,FALSE,FALSE
BunLau;KatBar,Laura Bunyan;Barret Katuna,The Cost of Caring: An Analysis of Educated Nannies’ Entrapment in a Cycle of Low-Wage Work,2019,Paradoxes of Power in Carework,2024,Care(ful) Relationships between Mothers and the Caregivers They Hire (Book),Book Chapter,Labor;Market services;Social practices;Affect,Discursive analysis,N/A,N/A,,,,FALSE,FALSE
CaiCin;LamJac,Cindy Cain;Jack Lam,Integrating Work and Home when Patients Are Dying,2019,Integrating work and home when patients are dying: a mixed-methods study of hospice care workers and work–family conflict in the US,2021,International Journal of Care and Caring,Journal article,Aging;Healthcare;Governance;Affect,Interviews;Surveys;Quantitative,United States,N/A,,,,FALSE,FALSE
CraCyn,Cynthia Cranford,Alliances for Flexibility with Security: A Comparative Analysis of Personal Home Care in California and Ontario,2019,Home Care Fault Lines: Understanding Tensions and Creating Alliances,2020,Cornell University Press (Book),Book,Labor;Social care;Governance;Migration,Qualitative;Interviews,N/A,N/A,,,,FALSE,FALSE
DamVal,Valerie Damasco,"Structuring of the Canadian Healthcare System: The Transnational Labour Migration and Mobility of Filipino Nurses to Canada from the Philippines and via the United States, 1957 to 1969",2019,"Transnational Labour Migration of Filipino Nurses to Canada
An Organized Historical, Institutional and Social Process",2021,Outside and In-Between: Theorizing Asian-Canadian Exclusion and the Challenges of Identity Formation,Book chapter,Migration;Governance;Healthcare;Public policy,Discursive analysis,Canada,N/A,,,,FALSE,FALSE
DanLis,Lisette Dansereau,Caring On Your Own: The Emotional Labour of Home Care and Home Support Workers,2019,"Fear, defensive strategies and caring for cognitively impaired family members",2019,Journal of gerontological social work,Journal article,Aging;Social practices;Affect,Interviews;Qualitative,Canada,N/A,,,,FALSE,FALSE
DegFra,Francesca Degiuli,The Role of Geriatric Doctors in Shaping Long-Term Care and its Providers.,2019,Shaping Long-term Care for Older Adults: Exploring the Role of Geriatricians in Italy and the United States,2022,Journal of Elder Policy,Journal article,Aging;Healthcare;Labor,Interviews;Qualitative,Western Europe;United States,Italy,,,,FALSE,FALSE
DicHel;SmitCat,Helen Dickinson;Catherine Smith,Caring with Robots: Identifying Boundaries in Care,2019,Exploring governance tensions of disruptive technologies: the case of care robots in Australia and New Zealand ,2021,Policy and Society,Journal article,Technology;Governance;Ethics,Qualitative;Interviews,Australasia,Australia;New Zealand,,,,FALSE,FALSE
EarAll,Allison Earle,Global Progress in the Provision of Paid Leave for Family Care,2019,"Progress towards gender equality in paid parental leave: an
analysis of legislation in 193 countries from 1995–2022",2023,"Community, Work and Family",Journal article,Gender;Labor;Governance,Discursive analysis;Qualitative,N/A,N/A,,,,FALSE,FALSE
FerKri;JamYvo;BouIvy,Kristen Ferguson;Yvonne James;Ivy Bourgeault,"Teacher Mental Health, Leaves of Absences, and Return to Work: A Pilot Study Examining Gender and Care",2019,Teacher Mental Health and Leaves of Absences: A Pilot Study Examining Gender and Care,2022,Canadian Journal of Education,Journal article,Education;Gender;Affect;Public policy,Qualitative;Interviews;Surveys,Canada,N/A,,,,FALSE,FALSE
FitMag,Maggie FitzGerald,Pluriversality and Care: Rethinking Global Ethics,2019,Pluriversality and Care: Rethinking Global Ethics,2020,Carleton University,Dissertation,Ethics,Discursive analysis,N/A,N/A,,,,FALSE,FALSE
GauCry,Crystal Gaudet,"You Are the Sacrifice, but They Are the Beneficiary’: Exploring Notions of Sacrifice in the Narratives of Migrant Live-in Caregivers in Toronto, Canada",2019,Making meaning about reproductive work: A narrative inquiry into the experiences of migrant caregivers in Canada,2021,The University of Western Ontario,Dissertation,Migration;Labor;Governance,Qualitative;Interviews,Canada,Toronto,,,,FALSE,FALSE
GooNan;MarPia;GalCat;SamSus;QuiMar,Nancy Goodyear;Pia Markkanen;Catherine Galligan;Susan Sama;Margaret Quinn,Cleaning and Disinfection in Home Care: A Qualitative Study to Characterize Aides’ Cleaning Work and Assess Safety and Health Exposures,2019,Cleaning and disinfection in home care: A comparison of 2 commercial products with potentially different consequences for respiratory health,2018,American Journal of Infection Control,Journal article,Healthcare;Governance,Quantitative,United States,N/A,,,,FALSE,FALSE
GriAli;KonPia,Alisa Grigorovich;Pia Kontos,It Could Be A Lot Worse’: The Emotional Work Involved in the Management of Unwanted Sexual Attention from Residents.,2019,Problematizing Sexual Harassment in Residential Long-Term Care: The Need for a More Ethical Prevention Strategy,2020,Canadian Journal on Aging,Journal article,Governance;Labor;Social practices,Discursive analysis,Canada,N/A,,,,FALSE,FALSE
HanMar;KelChr;DanLis;AubKat;WilAll;MatAnn,Mary Jean Hande;Christine Kelly;Lisette Dansereau;Katie Aubrecht;Allison Williams;Anne Martin Matthews,What’s Different About Working Under Direct-Funding? Exploring the Shifting Roles of Care Workers in Self and Family Managed Home Care in Manitoba,2019,Doing ‘whatever they can imagine’: social task shifting in directly funded home care,2021,International Journal of Care and Caring,Journal article,Labor;Healthcare;Market services;Disability,Surveys;Qualitative:Interviews,Canada,Manitoba,,,,FALSE,FALSE
HenSop,Sophie Henderson,The Legal Protection of Women Migrant Domestic Workers from the Philippines and Sri Lanka: An Intersectional Rights-Based Approach,2019,"The Legal Protection of Women Migrant Domestic Workers from the Philippines and Sri Lanka: An Intersectional Rights-based Approach
",2020,International Journal of Care and Caring,Journal article,Migration;Labor;Governance,Discursive analysis,East Asia;South Asia,Philippines;Sri Lanka,,,,FALSE,FALSE
HerRac;FunLau;SpeDal,Rachel Herron;Laura Funk;Dale Spencer,Responding the ‘Wrong Way’: Examining the Emotion Work Involved in Caring for a Family Member with Dementia,2019,"Responding the ""Wrong Way"": The Emotion Work of Caring for a Family Member With Dementia",2019,The Gerontologist,Journal article,Aging;Healthcare;Affect;Social practices,Interviews;Qualitative,Canada,Manitoba,,,,FALSE,FALSE
HodSuz;SavPau,Suzanne Hodgkin;Pauline Savy,Servicing Care within a Marketized Model: Insights from Australian Studies of Rural Residential and Community-Based Aged Care Services,2019,Navigating the marketisation of community aged care services in rural Australia,2020,International Journal of Care and Caring,Journal article,Market services;Labor;Affect;Social practices,Qualitative;Quantitative,Australasia,Australia,,,,FALSE,FALSE
JabEri,Erica Jablonski,When Informal Caregiving Becomes a ‘Job’ and Why It Matters,2019,"INFORMAL CAREGIVER IDENTITY: VOLUNTARY JOB FIT, TEAMWORK, AND TOOLS",2019,University of New Hampshire,Dissertation,Healthcare;Affect;Labor;Market services,Interviews;Qualitative,United States,N/A,,,,FALSE,FALSE
JefMun,Munjeera Jefford,Decolonizing Immigrant Management,2019,Possibilities in decolonizing English language learning,2021,"TESL Ontario, CONTACT Magazine",NGO/Non-Profit report ,Education;Race;Gender,Discursive analysis,Canada,N/A,,,,FALSE,FALSE
JohEle;CamAil,Eleanor Johnson;Ailsa Cameron,Exploring the Role of Volunteers in Care Settings for Older People,2019,Exploring the role of volunteers in social care for older adults,2020,Quality in Ageing and Older Adults,Journal article,Aging;Social care;Governance;Labor,Quantitiative;Qualitative;Interviews,Western Europe,England,,,,FALSE,FALSE
KamNel;FalOle;McMEve;FleBro;BruAsh;NocGab;ShaPra,Nellie Kamkar;Michal Perlman;Olesya Falenchuk;Evelyn McMullen;Brooke Fletcher;Ashley Brunsek;Gabriella Nocita;Prakeshkumar Shah,Is Early Childhood Educator Experience Associated with Child Outcomes? A Systematic Review and Meta-Analysis,2019,Is educators’ years of experience in early childhood education and care settings associated with child outcomes? A systematic review and meta-analysis,2020,Early Childhood Research Quarterly,Journal article,Education;Healthcare;Social care,Discursive analysis,N/A,N/A,,,,FALSE,FALSE
KanJud,Jude Kanu,An International Perspective in Care-giving-Africa,2019,An international perspective in caregiving in Africa,2019,Research and Reviews,Journal article,Healthcare;Public policy,Discursive analysis,West Africa,Nigeria,,,,FALSE,FALSE
KimHee,Hee-Kang Kim,Carism: Care Ethics as a Political Theory,2019,Care Ethics as a Challenge to the Structural Oppression Surrounding Care,2021,Ethics and Social Welfare,Journal article,Ethics,Discursive analysis,N/A,N/A,,,,FALSE,FALSE
KimYan,Yang-Sook Kim,Caring for Co-Ethnics: Immigrant Women In-Home Supportive Service Workers in Koreatown,2019,"Competing Subjectivities: A Comparative Study of Low-Paid Care Workers in Greater Seoul
and the Los Angeles Koreatown",2020,University of Toronto,Dissertation,Migration;Social care;Race;Gender,Interviews;Qualitative,United States;East Asia,Los Angeles;Seoul,,,,FALSE,FALSE
KloJan,Janna Klostermann,Recasting Care: A Theatrical Feminist Account of the Limits of Care,2019,Care Has Limits: Women's Moral Lives and Revised Meanings of Care Work,2021,Carleton University,Dissertation,Affect;Ethics;Social practices,Qualitative;Interviews,Canada,Ontario,,,,FALSE,FALSE
KurAli;SidSun;GorReb;PunLau,Alicia Kurowski;Sundus Siddique;Rebecca Gore;Laura Punnett,Participatory Ergonomics to Address Burnout among Careworkers in a Mental Health Hospital,2019,"Emotional Labor and Depressive Symptoms Among Healthcare Workers
",2021,Workplace Health & Safety,,,,,,,,,FALSE,FALSE
LamThe,Theodora Lam,Living up to the Challenge: Left-behind Mothering in the Migration Context,2019,Parental migration and disruptions in everyday life: reactions of left-behind children in Southeast Asia,2019,Journal of Ethnic and Migration Studies,Journal article,Migration;Social care;Affect;Gender,Qualitative;Quantitative,East Asia,N/A,,,,FALSE,FALSE
LanRac;PowAla,Rachel Langford;Alana Powell,Low-Wage Work of Early Childhood Educators in Ontario: Are Policy and Advocacy Directions Working?,2019,Who cares for carers? How discursive constructions of care work marginalized early childhood educators in Ontario’s 2018 provincial election,2020,Contemporary Issues in Early Childhood,Journal article,Education;Healthcare;Labor,Discursive analysis,Canada,Ontario,,,,FALSE,FALSE
LigNao,Naomi Lightman,Who Cares? Tracing the Employment Trajectories of Migrant Care Workers in Canada,2019,"Does Care Count for Less? Tracing the Income
Trajectories of Low Status Female Immigrant Workers
in Canada, 1993–2015",2021,Canadian Studies in Population,Journal article,Migration;Labor;Market services;Gender,Quantitative,Canada,N/A,,,,FALSE,FALSE
LowRut;StrJam,Ruth Lowndes;James Struthers,"A Day in the Life: Comparisons of Social and Medical Care Models in Germany and Ontario, Canada",2019,"Social Participation in Long-term Residential Care: Case Studies from Canada, Norway, and Germany",2021,Canadian Journal on Aging,Journal article,Aging;Social practices;Affect;Labor,Interviews;Qualitative,Canada;Western Europe;Nordic,Norway;Germany,,,,FALSE,FALSE
MacFio,Fiona Macdonald,"Emerging Risks in Paid Carework: Individualisation, Insecurity and the Gig Economy",2019,Individualising Risk: Paid Care Work in the New Gig Economy,2021,Palgrave Macmillan (Book),Book,Labor;Market services;Social care;Governance,Discursive analysis,Australasia,Australia,,,,FALSE,FALSE
MacMar;ArmPat;ArmHug;DouMal,Martha Macdonald;Pat Armstrong;Hugh Armstrong;Malcom Doupe,Privatization of Long-term Residential Care in Canada: The Case of Three Provinces.,2019,Privatization of Long-term Residential Care in Canada: The Case of Three Provinces,2019,The Privatization of Care (Book),Book Chapter,Healthcare;Aging;Market services,Discursive analysis,Canada,N/A,,,,FALSE,FALSE
MokZit,Zitha Mokomane,Balancing Childcare and Work Roles: Views of Parents in the South African Informal Sector,2019,Balancing care and work roles among women working in the informal sector in South Africa,2020,International Journal of Care and Caring,Journal article,Gender;Labor;Governance;Social practices,Surveys;Qualitative,Southern Africa,South Africa,,,,FALSE,FALSE
MunAdr;AltGui,Adrianna Munson;Guillermina Altomonte,How Autonomy Organizes Carework: Comparing Institutional Approaches to Disability and Elder Care,2019,"Autonomy on the horizon: comparing institutional
approaches to disability and elder care",2021,Theory and Society,Journal article,Disability;Aging;Social practices,Discursive analysis,N/A,N/A,,,,FALSE,FALSE
NazJen;CraCyn,Jennifer Nazareno;Cynthia Cranford,"Intersectionality, Immigrant Care Economies, and New Forms of Servitude in Long-Term Care.",2019,Between Women of Color: The New Social Organization of Reproductive Labor,2022,Gender & Society,Journal article,Migration;Gender;Labor,Qualitative;Interviews,United States,Los Angeles,,,,FALSE,FALSE
NguMeg,Megan Nguyen,The Bodily Experience of Emotions among Cancer Patients,2019,"Rethinking Emotions:
A Phenomenological, Photo-Elicitation Study of Individuals Living with Cancer",2022,University of Toronto ,Dissertation,Affect;Healthcare;Ethics,Discursive analysis;Interviews;Qualitative,Canada,N/A,,,,FALSE,FALSE
NisIng,Inge van Nistelrooij,‘Liberating the Pregnant Body’: Disempowerment and Disembodiment in Maternity Care,2019,"The Fluidity Of Becoming. The Maternal Body in Feminist Views of Care, Worship and Theology",2022,"Care Ethics, Religion, and Spiritual Traditions (Book)",Book Chapter,Ethics;Social care,Discursive analsysis,N/A,N/A,,,,FALSE,FALSE
PivLil,Lilla Pivnik,Occupational Stress and Psychological Distress among Men and Women in Care Work and Non-Care Work Occupations,2019,Occupational Health and Well-being Among Paid Care Workers,2021,University of Texas at Austin,Dissertation,Labor;Affect;Gender;Governance,Quantitative,United States,N/A,,,,FALSE,FALSE
PopMel,Melissa Popiel,Episodic Caring: Exploring Life Impacts from an Unpredictable Caring Role,2019,Unpredictable Paths into Care: Examining HIV and MS Care Relationships in Southern Ontario,2021,Wilfrid Laurier University,Dissertation,Social care;Healthcare;Affect,Discursive analysis,Canada,Ontario,,,,FALSE,FALSE
RajSIr;JosJol,Jolin Joseph;S. Irudaya Rajan,Transnational Care Mobility to Mobilization: A Case for Closer Engagement with Civil Society and Local Actors in Policy and Praxis,2019,Migrant Domestic Workers in the GCC: Negotiating Contested Politics and Contradictory Policies,2020,Asianization of Migrant Workers in the Gulf Countries (Book),Book Chapter,Governance;Migration;Labor,Discursive analysis,Gulf;South Asia;East Asia,N/A,,,,FALSE,FALSE
RicBro,Brooke Richardson,Care and Justice? Moving Towards a More ‘Humane Justice’ in Child Protection System,2019,The Re-Emergence of Childcare as a Women’s Issue? Analyzing Gender in Australian and Canadian COVID-19 Childcare Policymaking,2023,"Journal of Women, Politics & Policy",Journal article,Market services;Labor;Governance;Healthcare,Discursive analysis,Canada;Australasia,Australia,,,,FALSE,FALSE
ShiRic,Richa Shivakoti,Protection or Discrimination: A Look at Policies Banning Female Migrant Workers,2019,The migration ban policy cycle: a comparative analysis of restrictions on the emigration of women domestic workers,2021,Comparative Migration Studies,Journal article,Migration;Governance;Gender;Public policy,Discursive analysis,East Asia;South Asia,N/A,,,,FALSE,FALSE
SimMar;UnsChr;McAKir;FoxSte,Mary Simpson;Christine Unson;Kirstie McAllum;Stephanie Fox,The Role of Socialisation of Family Caregivers of Older Family Members: Expectations and Experiences of Prospective and Current Caregivers in Aotearoa/New Zealand,2019,"It’s What We Do: Māori Carers Talk About Roles, Challenges, and Coordination in Caring for Older Family Members",2020,Innov Aging,Journal article,Aging;Social practices;Healthcare,Interviews;Qualitative,Australasia,New Zealand,,,,FALSE,FALSE
SimWen,Wendy Simonds,In Search of Dignified Care: Birth Plans and Advance Directives,2019,"Birth Lost in Translation: Obstetric Violence and the Plight to
Humanize Institutional Birth ",2021,Georgia State University,Dissertation,Healthcare;Social practices,Qualitative;Interviews;Discursive analysis,N/A,N/A,,,,FALSE,FALSE
SmiCat,Catherine Smith,Researching the Discursive in Practices of Care,2019,"The importance of social supports in education: survey findings from students with disability and their families during COVID-19
",2021,Disability & Society,Journal article,Education;Social practices;Disability,Interviews;Qualitative;Quantitative;Surveys,Australasia,Australia,,,,FALSE,FALSE
SweHal,Haley Swenson,Men and Care: Barriers and Incentives to Increasing U.S. Men’s Paid and Unpaid Caregiving Participation,2019,Engaged Dads and the Opportunities for and Barriers to Equal Parenting in the United States,2020,New America (Better Life Lab),NGO/Non-Profit report,Gender;Healthcare;Public policy,Surveys,United States,N/A,,,,FALSE,FALSE
SwiSco,Scott Swiatek,Young Men’s Entry and Persistence in Female-Dominated Occupations,2019,Young Men’s Entry and Persistence in Female-Dominated Occupations,2021,Sociological Focus,Journal article,Labor;Gender;Market services,Surveys;Qualitative,United States,N/A,,,,FALSE,FALSE
TunEth,Ethel Tungohan,"Global Care Work and Activism: Perspectives from Hong Kong, Singapore and the Philippines.",2019,"Care Activism: Migrant Domestic Workers, Movement-Building, and Communities of Care",2023,University of Illinois Press,Book,Migration;Governance;Labor;Citizenship,Interviews;Qualitative;Discursive analysis,N/A,N/A,,,,FALSE,FALSE
VanAnn;BenAle;KemCan;PerMol,Ann Vandenberg;Alexis Bender;Candace Kemp;Molly Perkins,We Quickly Find another Subject and Make Them Laugh’: Staff-Resident Communication About Death in Assisted Living.,2019,“You gotta have your cry”: Administrator and direct care worker experiences of death in assisted living,2022,Journal of Aging Studies,Journal article,Aging;Healthcare;Affect;Labor,Qualitative,United States,N/A,,,,FALSE,FALSE
WarMel,Melody Waring,Is There an Education Gradient in Women’s Time Transfers to Aging Parents?,2019,Caring for Aging Parents: Stratified Effects on Labor Force Participation,2020,University of Wisconsin-Madison,Dissertation,Class;Labor;Market services;Healthcare,Quantitative;Surveys,United States,N/A,,,,FALSE,FALSE
WatPhi;BenRac,Philippa Waterhouse;Rachel Bennett,Early Maternal Economic Activity and Child Cognitive Development in Ethiopia: How Important is Childcare as a Mediator?,2019,Early maternal work and child vocabulary development: evidence from Ethiopia,2021,Journal of Family Studies,Journal article,Education;Social practices,Surveys;Qualitative,East Africa,Ethiopia,,,,FALSE,FALSE
YanZhe,Zhe Yan,Ethics behind Dirty Work: Eldercare Workers' Experiences in China's Caregiving.,2019,"“I tried to control my emotions”: Nursing Home Care Workers’ Experiences of Emotional Labor in China
",2022,Journal of Cross-Cultural Gerontology,Journal article,Aging;Healthcare;Affect;Labor,Qualitative;Quantitative,East Asia,China,,,,FALSE,FALSE
YeoBre;HoEla;HuaShi,Brenda S.A. Yeoh;Elaine Ho;Shirlena Huang,Tracing Webs of Care for the Elderly: Migrant Care Labour and Care Mobilities in Singapore,2019,"Webs of Care: Qualitative GIS Research on Aging, Mobility, and Care Relations in Singapore
",2020,Annals of the American Association of Geographers,Journal article,Aging;Governance;Social care;Social practices,Qualitative;Discursive analysis,East Asia,Singapore,,,,FALSE,FALSE
ZagKat,Katherine Zagrodney,Differences in PSW Job Characteristics and Labour Supply Behaviours by Care Sector: The Disadvantaged Home and Community PSW,2019,Personal support workers and the labour market,2020,Support Workers and the Health Professions in International Perspective,Book Chapter,Labor;Market services;Governance;Healthcare,Discursive analysis,Canada,N/A,,,,FALSE,FALSE
ZelJen;AbrMim,"Jennifer Zelnick, Mimi Abramovitz","Managerialism, Gender and Social Justice: Results from the Human Service Workforce Study",2019,"Structural Racism, Managerialism, and the Future of the Human Services: Rewriting the Rules",2022,Social Work,Journal article,Governance;Labor;Race;Metrics,Qualitative;Interviews,United States,New York City,,,,FALSE,FALSE
ZunEla;vanYan,Elaine Zundl;Yana van der Meulen Rodgers,Domestic Worker Inequities and Rights: A Mixed-Methods Analysis,2019,"The Future of Work for Domestic Workers in the
United States: Innovations in Technology,
Organizing, and Laws",2021,"Center for Women and Work Working Paper Series (Rutgers, The State University of New Jersey)",Journal article,Governance;Migration;Labor;Technology,Interviews;Qualitative;Discursive analysis,United States,N/A,,,,FALSE,FALSE
ArnLyn,Lynnette Arnold,Enacting Health Care through Communication in Transnational Salvadoran Families,2020,Communication as Care across Borders: Forging and Co-Opting Relationships of Obligation in Transnational Salvadoran Families,2020,American Anthropologist,Journal article,Labor;Migration;Social care;Social practices;Theory,Interviews;Qualitative,Latin America,El Salvador,,,,FALSE,FALSE
BelDyl,Dylan Bellisle,How the Earned Income Tax Credit helps maintain family childcare arrangements and generates intergenerational family support. Social Service Review.,2020,How the Earned Income Tax Credit Sustains Informal Child-Care Arrangements with Family Members and Helps Maintain Intergenerational Relations,2022,Social Service Review,Journal article,Aging;Class;Gender;Governance;Labor;Metrics;Race;Social care;Social practices,Qualitative;Interviews,United States,N/A,,,,FALSE,FALSE
HodMel,Melissa Hodges,The Feminization of Paid and Unpaid Care Work in Cross-national Perspective,2020,Making Motherhood Work: How Women Manage Careers and Caregiving,2020,Contemporary Sociology,Journal article,Gender;Labor;Market Services;Governance,Qualitative;Interviews;Discursive analysis,United States,N/A,,,,FALSE,FALSE
HubReb;BalMau;JosPam;AceDol,Rebecca Huber;Maura Baldiga;Pamela Joshi;Dolores Acevedo-Garcia,Caring On and Off the Clock: Measuring Care Costs and Work Supports among Paid Care Workers with Dependents,2020,"Caregiving on and off the clock
Equity issues faced by care workers with dependents",2020,Diversity Data Kids,NGO/Non-Profit Report,Healthcare;Labor;Market services,Qualitative;Quantitative,United States,N/A,,,,FALSE,FALSE
MagDal,Dale Maglalang,Cultivating Personal and Job Resources Among Filipina Care Workers in New England,2020,"Buffering effects of job and personal resources on the health and
well-being of care workers",2020,Boston College School of Social Work,Dissertation,Healthcare;Affect;Labor,Qualitative;Interviews;Discursive analysis,United States,New England,,,,FALSE,FALSE
MauLau,Laura Mauldin,Integrating disability as an axis of inequality in care scholarship,2020,Missing Pieces: Engaging Sociology of Disability in Medical Sociology,2021,Journal of Health and Social Behavior,Journal article,Disability;Healthcare,Discursive analysis,United States,N/A,,,,FALSE,FALSE
SenRak,Raka Sen,"Adaptation Labor: Gender, Work, and Climate Change in the Sundarbans",2020,"Salt in the wound: embodied everyday adaptations to salinity intrusion in the
Sundarbans",2023,Ecology and Society,Journal article,Gender;Labor;Market services,Qualitative;Interviews;Discursive analysis,South Asia,Sundarbans,,,,FALSE,FALSE
SteMah,Mahala Dyer Stewart,The Racialized Insecurity Shift: Black and White Mothers’ Care Work in School Choice,2020,"Pushed or Pulled Out? The Racialization of School Choice in Black and White Mothers’ (Home) Schooling Decisions for Their Children
",2020,Sociology of Race and Ethnicity,Journal article,Race;Education;Social practices,Qualitative;Interviews;Discursive analysis,United States,N/A,,,,FALSE,FALSE
WarRos,Rosalie Warnock,"Care, Children, and Invisible Disabilities in the UK and US",2020,"Relational legacies and relative experiences: Austerity, inequality and access to special educational needs and disability (SEND) support in London, England",2023,The Geographical Journal,Journal article,Disability;Healthcare,Qualitative;Interviews;Discursive analysis,Western Europe,United Kingdom ,,,,FALSE,FALSE
ZelJen;AbrMim,Jennifer Zelnick;Mimi Abramovitz,"Managerialism, Gender and Social Justice: Results from the Human Service Workforce Study",2020,The Perils of Privatization: Bringing the Business Model into Human Services,2019,"Social Work, Volume 65, Issue 3, July 2020",,Governance;Social justice;Market services;Social work,,,,,,,FALSE,FALSE
BarChr;MorJen;KemCan,Christina Barmon;Jennifer Morgan;Candace Kemp,Negotiating Tensions in Paid Care Work: Quality Care and Quality Jobs,2021,"Limiting and Promoting Resident Self-Care in Assisted Living
",2019,Journals of Gerontology: Social Sciences,,Dependent care; Self care;Healthcare,,,,,,,FALSE,FALSE
DicHel;SmiCat,Helen Dickinson;Catherine Smith,Caring with Robots: Identifying Boundaries in Care,2021,Exploring governance tensions of disruptive technologies: the case of care robots in Australia and New Zealand ,2019,"Policy and Society, Volume 40, Issue 2, June 2021 (https://doi.org/10.1080/14494035.2021.1927588)",,Technology;Healthcare;Social care;Ethics,,,,,,,FALSE,FALSE
AleChl,Chloe Alexander,Can and Should Care Mean Empowerment?,2022,Unequal Conditions of Care and the Implications for Social Policies on Young Carers,2021,Child and Adolescent Social Work Journal,Journal article,Governance;Race;Class;Disabilities;Social care,Qualitative,Western Europe,United Kingdom ,,,,FALSE,FALSE
KloJan,Janna Klostermann,Is it ‘Care’ if You Can’t Leave?,2022,More than a visitor? Rethinking metaphors for family care in long-term care homes,2022,Ageing and Society,Journal article,Governance;Gender;Labor;Market services,Qualitative,Canada,Ontario,,,,FALSE,FALSE
LouCli,Cliona Loughnane;Carol Kelleher;Claire Edwards,Envisioning a Caring Democracy through citizen deliberation? – Care and Ireland’s Citizen Assembly on Gender Equality,2022,Care full deliberation? Care work and Ireland’s citizens’assembly on gender equality,2023,Critical Social Policy,Journal article,Citizenship;Governance,Qualitative,Western Europe,Ireland,,,,FALSE,FALSE
RosAnn;PelEli,Anna Rosinska;Elizabeth Pellerito,"Worker health, public health, economic health: The evolution of domestic workers’ self-advocacy during the pandemic",2022,Pandemic Shock Absorbers: Domestic Workers’ Activism at the Intersection of Immigrants’ and Workers’ Rights,2022,Springer Publishing Company,Book chapter,Labor;Race;Citizenship;Class;Governance;Market services,Qualitative,United States,Massachusetts,,,,FALSE,FALSE
